"PAÍS","INSCRITOS RE-ELECCIÓN","INSCRITOS ELECCIÓN NACIONAL","DIFERENCIA INSCRITOS","DIFERENCIA INSCRITOS %","EMITIDOS RE-ELECCIÓN","EMITIDOS ELECCIÓN NACIONAL","DIFERENCIA EMITIDOS","DIFERENCIA EMITIDOS %","VÁLIDOS RE-ELECCIÓN","VÁLIDOS ELECCIÓN NACIONAL","DIFERENCIA VÁLIDOS","DIFERENCIA VÁLIDOS %","EVO RE-ELECCIÓN","EVO ELECCIÓN NACIONAL","DIFERENCIA EVO","DIFERENCIA EVO % EN VOTOS","EVO RE-ELECCIÓN %","EVO ELECCIÓN NACIONAL %","DIFERENCIA EVO % EN PORCENTAJES","DIFERENCIA EMITIDOS EVO POSITIVO"
"ALEMANIA",116,86,30,25.86,66,69,-3,-4.55,66,68,-2,-3.03,22,35,-13,-59.09,33.33,51.47,-18.14,3
"ARGENTINA",116568,121267,-4699,-4.03,29856,73050,-43194,-144.67,28828,69651,-40823,-141.61,23700,64251,-40551,-171.1,82.21,92.25,-10.04,43194
"AUSTRIA",61,43,18,29.51,35,34,1,2.86,35,34,1,2.86,17,23,-6,-35.29,48.57,67.65,-19.08,-1
"BELGICA",156,121,35,22.44,91,91,0,0,89,89,0,0,13,27,-14,-107.69,14.61,30.34,-15.73,0
"BRASIL",31370,36520,-5150,-16.42,7359,22628,-15269,-207.49,6935,21303,-14368,-207.18,5276,18588,-13312,-252.31,76.08,87.26,-11.18,15269
"CANADÁ",89,75,14,15.73,33,58,-25,-75.76,33,57,-24,-72.73,16,33,-17,-106.25,48.48,57.89,-9.41,25
"CHILE",15034,14382,652,4.34,6711,11399,-4688,-69.86,6151,10697,-4546,-73.91,3062,7266,-4204,-137.3,49.78,67.93,-18.15,4688
"CHINA",50,42,8,16,19,33,-14,-73.68,19,32,-13,-68.42,9,25,-16,-177.78,47.37,78.12,-30.75,14
"COLOMBIA",224,189,35,15.62,113,130,-17,-15.04,111,125,-14,-12.61,24,38,-14,-58.33,21.62,30.4,-8.78,17
"COSTA RICA",94,81,13,13.83,56,60,-4,-7.14,53,59,-6,-11.32,7,30,-23,-328.57,13.21,50.85,-37.64,4
"CUBA",494,797,-303,-61.34,221,645,-424,-191.86,219,625,-406,-185.39,193,589,-396,-205.18,88.13,94.24,-6.11,424
"DINAMARCA",31,28,3,9.68,24,26,-2,-8.33,24,26,-2,-8.33,4,5,-1,-25,16.67,19.23,-2.56,2
"ECUADOR",155,120,35,22.58,84,89,-5,-5.95,84,81,3,3.57,42,43,-1,-2.38,50,53.09,-3.09,5
"EGIPTO",12,8,4,33.33,8,6,2,25,8,6,2,25,4,4,0,0,50,66.67,-16.67,-2
"ESPAÑA",70148,74605,-4457,-6.35,25565,46055,-20490,-80.15,23975,43812,-19837,-82.74,4874,19392,-14518,-297.87,20.33,44.26,-23.93,20490
"ESTADOS UNIDOS",12876,12589,287,2.23,4938,5506,-568,-11.5,4808,5334,-526,-10.94,846,1845,-999,-118.09,17.6,34.59,-16.99,568
"FRANCIA",497,483,14,2.82,218,375,-157,-72.02,215,359,-144,-66.98,67,161,-94,-140.3,31.16,44.85,-13.69,157
"HOLANDA",72,59,13,18.06,39,49,-10,-25.64,39,47,-8,-20.51,8,10,-2,-25,20.51,21.28,-0.77,10
"INDIA",12,7,5,41.67,9,6,3,33.33,9,6,3,33.33,6,3,3,50,66.67,50,16.67,-3
"IRÁN",10,6,4,40,10,6,4,40,10,6,4,40,10,6,4,40,100,100,0,-4
"ITALIA",6004,5863,141,2.35,3121,4624,-1503,-48.16,3005,4221,-1216,-40.47,625,1692,-1067,-170.72,20.8,40.09,-19.29,1503
"JAPÓN",208,146,62,29.81,208,94,114,54.81,59,93,-34,-57.63,10,20,-10,-100,16.95,21.51,-4.56,-114
"MÉXICO",218,166,52,23.85,131,113,18,13.74,131,110,21,16.03,25,33,-8,-32,19.08,30,-10.92,-18
"PANAMÁ",132,114,18,13.64,91,94,-3,-3.3,91,93,-2,-2.2,17,19,-2,-11.76,18.68,20.43,-1.75,3
"PARAGUAY",352,356,-4,-1.14,162,298,-136,-83.95,162,289,-127,-78.4,79,180,-101,-127.85,48.77,62.28,-13.51,136
"PERÚ",776,595,181,23.32,464,455,9,1.94,456,435,21,4.61,158,208,-50,-31.65,34.65,47.82,-13.17,-9
"REINO UNIDO",1249,1244,5,0.4,489,925,-436,-89.16,478,896,-418,-87.45,108,319,-211,-195.37,22.59,35.6,-13.01,436
"REPÚBLICA DE COREA DEL SUR",30,23,7,23.33,20,20,0,0,19,20,-1,-5.26,9,10,-1,-11.11,47.37,50,-2.63,0
"RUSIA",93,59,34,36.56,63,44,19,30.16,63,40,23,36.51,14,24,-10,-71.43,22.22,60,-37.78,-19
"SUECIA",270,282,-12,-4.44,98,282,-184,-187.76,97,190,-93,-95.88,50,116,-66,-132,51.55,61.05,-9.5,184
"SUIZA",933,866,67,7.18,417,622,-205,-49.16,414,608,-194,-46.86,74,164,-90,-121.62,17.87,26.97,-9.1,205
"URUGUAY",129,128,1,0.78,81,108,-27,-33.33,81,104,-23,-28.4,28,57,-29,-103.57,34.57,54.81,-20.24,27
"VENEZUELA",527,636,-109,-20.68,281,541,-260,-92.53,275,524,-249,-90.55,176,470,-294,-167.05,64,89.69,-25.69,260
