"PAÍS","EVO RE-ELECCIÓN","EVO ELECCIÓN NACIONAL","DIFERENCIA EVO","VÁLIDOS RE-ELECCIÓN","VÁLIDOS ELECCIÓN NACIONAL","EVO RE-ELECCIÓN %","EVO ELECCIÓN NACIONAL %","PÉRDIDA PORCENTAJES"
"ALEMANIA",22,35,-13,66,68,33.33,51.47,-18.14
"ARGENTINA",23700,64251,-40551,28828,69651,82.21,92.25,-10.04
"AUSTRIA",17,23,-6,35,34,48.57,67.65,-19.08
"BELGICA",13,27,-14,89,89,14.61,30.34,-15.73
"BRASIL",5276,18588,-13312,6935,21303,76.08,87.26,-11.18
"CANADÁ",16,33,-17,33,57,48.48,57.89,-9.41
"CHILE",3062,7266,-4204,6151,10697,49.78,67.93,-18.15
"CHINA",9,25,-16,19,32,47.37,78.12,-30.75
"COLOMBIA",24,38,-14,111,125,21.62,30.4,-8.78
"COSTA RICA",7,30,-23,53,59,13.21,50.85,-37.64
"CUBA",193,589,-396,219,625,88.13,94.24,-6.11
"DINAMARCA",4,5,-1,24,26,16.67,19.23,-2.56
"ECUADOR",42,43,-1,84,81,50,53.09,-3.09
"EGIPTO",4,4,0,8,6,50,66.67,-16.67
"ESPAÑA",4874,19392,-14518,23975,43812,20.33,44.26,-23.93
"ESTADOS UNIDOS",846,1845,-999,4808,5334,17.6,34.59,-16.99
"FRANCIA",67,161,-94,215,359,31.16,44.85,-13.69
"HOLANDA",8,10,-2,39,47,20.51,21.28,-0.77
"INDIA",6,3,3,9,6,66.67,50,16.67
"IRÁN",10,6,4,10,6,100,100,0
"ITALIA",625,1692,-1067,3005,4221,20.8,40.09,-19.29
"JAPÓN",10,20,-10,59,93,16.95,21.51,-4.56
"MÉXICO",25,33,-8,131,110,19.08,30,-10.92
"PANAMÁ",17,19,-2,91,93,18.68,20.43,-1.75
"PARAGUAY",79,180,-101,162,289,48.77,62.28,-13.51
"PERÚ",158,208,-50,456,435,34.65,47.82,-13.17
"REINO UNIDO",108,319,-211,478,896,22.59,35.6,-13.01
"REPÚBLICA DE COREA DEL SUR",9,10,-1,19,20,47.37,50,-2.63
"RUSIA",14,24,-10,63,40,22.22,60,-37.78
"SUECIA",50,116,-66,97,190,51.55,61.05,-9.5
"SUIZA",74,164,-90,414,608,17.87,26.97,-9.1
"URUGUAY",28,57,-29,81,104,34.57,54.81,-20.24
"VENEZUELA",176,470,-294,275,524,64,89.69,-25.69
